https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1633219200000,2021-10-03 00:00:00,ETH/USDT,3387.77000000,3488.00000000,3342.51000000,3417.73000000,360586.89050000,1231536168.31536300,816339
1633132800000,2021-10-02 00:00:00,ETH/USDT,3309.91000000,3469.00000000,3257.00000000,3387.76000000,422551.18110000,1417055615.81663700,1046194
1633046400000,2021-10-01 00:00:00,ETH/USDT,3000.62000000,3330.00000000,2969.07000000,3309.91000000,648714.61510000,2063112280.66779100,1446386
1632960000000,2021-09-30 00:00:00,ETH/USDT,2850.45000000,3048.42000000,2837.19000000,3000.61000000,506896.76120000,1514341937.30711600,992243
1632873600000,2021-09-29 00:00:00,ETH/USDT,2805.15000000,2950.00000000,2782.00000000,2850.45000000,411305.08930000,1180681056.16231400,748804
1632787200000,2021-09-28 00:00:00,ETH/USDT,2924.76000000,2970.82000000,2789.00000000,2804.91000000,511325.46430000,1477983245.66970200,928494
1632700800000,2021-09-27 00:00:00,ETH/USDT,3059.36000000,3164.94000000,2922.71000000,2925.59000000,510130.73190000,1564096695.37296700,1043885
1632614400000,2021-09-26 00:00:00,ETH/USDT,2921.84000000,3115.51000000,2738.17000000,3059.37000000,703594.47800000,2062409598.89487600,1347301
1632528000000,2021-09-25 00:00:00,ETH/USDT,2928.22000000,2967.52000000,2801.57000000,2921.73000000,491974.02260000,1428143403.47811100,934301
1632441600000,2021-09-24 00:00:00,ETH/USDT,3152.41000000,3158.52000000,2733.00000000,2928.53000000,932090.88560000,2715718192.37097600,1607374
1632355200000,2021-09-23 00:00:00,ETH/USDT,3076.92000000,3174.50000000,3033.85000000,3152.50000000,459293.88580000,1428616217.71812100,885568
1632268800000,2021-09-22 00:00:00,ETH/USDT,2766.72000000,3088.88000000,2737.54000000,3076.92000000,677457.64825000,1993084668.61438400,1200519
1632182400000,2021-09-21 00:00:00,ETH/USDT,2977.32000000,3105.83000000,2652.00000000,2765.90000000,971519.88941000,2827179157.43496560,1754962
1632096000000,2021-09-20 00:00:00,ETH/USDT,3328.57000000,3347.82000000,2913.39000000,2977.28000000,917939.57849000,2834781758.89261510,1708278
1632009600000,2021-09-19 00:00:00,ETH/USDT,3435.64000000,3456.53000000,3277.74000000,3328.62000000,312948.00130000,1052980779.84908000,687285
1631923200000,2021-09-18 00:00:00,ETH/USDT,3399.89000000,3541.96000000,3368.88000000,3435.64000000,315162.76270000,1090387917.42968900,692204
1631836800000,2021-09-17 00:00:00,ETH/USDT,3567.97000000,3594.17000000,3350.07000000,3399.81000000,398888.37050000,1383268101.51788600,867583
1631750400000,2021-09-16 00:00:00,ETH/USDT,3613.55000000,3676.28000000,3481.14000000,3567.98000000,467985.49190000,1680487713.22446500,1081868
1631664000000,2021-09-15 00:00:00,ETH/USDT,3434.37000000,3616.16000000,3357.78000000,3613.55000000,428507.52780000,1486156273.79187500,977023
1631577600000,2021-09-14 00:00:00,ETH/USDT,3285.09000000,3437.05000000,3269.95000000,3434.37000000,373634.90260000,1249733657.13210300,894664
1631491200000,2021-09-13 00:00:00,ETH/USDT,3404.30000000,3430.30000000,3108.49000000,3285.35000000,647855.71990000,2103663103.06774800,1363198
1631404800000,2021-09-12 00:00:00,ETH/USDT,3267.10000000,3474.16000000,3231.10000000,3404.21000000,408858.95950000,1379322044.69763100,1089138
1631318400000,2021-09-11 00:00:00,ETH/USDT,3208.85000000,3348.37000000,3200.00000000,3267.21000000,413524.17610000,1355587141.45379300,833958
1631232000000,2021-09-10 00:00:00,ETH/USDT,3424.94000000,3514.11000000,3150.00000000,3208.86000000,633026.26590000,2107283581.30531000,1128069
1631145600000,2021-09-09 00:00:00,ETH/USDT,3499.01000000,3567.06000000,3390.40000000,3424.93000000,628553.88310000,2194182935.33863800,1147283
1631059200000,2021-09-08 00:00:00,ETH/USDT,3434.84000000,3560.00000000,3215.16000000,3499.00000000,780611.76570000,2665272033.98010800,1783652
1630972800000,2021-09-07 00:00:00,ETH/USDT,3926.67000000,3947.15000000,3005.00000000,3434.57000000,1203536.00209000,4298119218.28275360,2359100
1630886400000,2021-09-06 00:00:00,ETH/USDT,3950.28000000,3970.00000000,3864.30000000,3926.77000000,397768.57830000,1562560096.37577000,865160
1630800000000,2021-09-05 00:00:00,ETH/USDT,3885.61000000,3980.00000000,3830.00000000,3950.29000000,365759.85970000,1432553302.47684100,1083584
1630713600000,2021-09-04 00:00:00,ETH/USDT,3938.11000000,3970.00000000,3832.50000000,3885.52000000,364478.11930000,1422981232.23371200,996623
1630627200000,2021-09-03 00:00:00,ETH/USDT,3785.82000000,4027.88000000,3705.05000000,3938.11000000,655903.75739000,2557662974.33001620,1678132
1630540800000,2021-09-02 00:00:00,ETH/USDT,3826.82000000,3836.80000000,3717.04000000,3785.82000000,525165.79960000,1981758437.08575600,1402190
1630454400000,2021-09-01 00:00:00,ETH/USDT,3429.19000000,3842.00000000,3382.22000000,3826.82000000,845759.95868000,3038498667.85423990,2022132
1630368000000,2021-08-31 00:00:00,ETH/USDT,3229.14000000,3476.00000000,3188.77000000,3429.20000000,863071.13092000,2895209449.70776520,1772849
1630281600000,2021-08-30 00:00:00,ETH/USDT,3223.47000000,3347.95000000,3143.00000000,3229.64000000,625347.27541000,2027490192.49738710,1228525
1630195200000,2021-08-29 00:00:00,ETH/USDT,3244.75000000,3285.00000000,3152.34000000,3223.47000000,335806.78270000,1078681950.90208700,661232
1630108800000,2021-08-28 00:00:00,ETH/USDT,3273.89000000,3287.00000000,3210.31000000,3244.48000000,262360.34921000,850631439.05327950,539377
1630022400000,2021-08-27 00:00:00,ETH/USDT,3093.06000000,3280.00000000,3060.18000000,3273.45000000,451027.80711000,1434311977.24525590,802187
1629936000000,2021-08-26 00:00:00,ETH/USDT,3226.88000000,3250.00000000,3053.30000000,3093.20000000,442298.47372000,1382397989.45047040,959232
1629849600000,2021-08-25 00:00:00,ETH/USDT,3170.63000000,3248.00000000,3080.00000000,3226.87000000,483697.69444000,1534476278.25319960,1031704
1629763200000,2021-08-24 00:00:00,ETH/USDT,3321.28000000,3357.85000000,3147.31000000,3170.62000000,540480.07853000,1758604481.59984730,984324
1629676800000,2021-08-23 00:00:00,ETH/USDT,3238.00000000,3377.89000000,3230.02000000,3321.28000000,602103.44614000,2000534992.14834860,1520784
1629590400000,2021-08-22 00:00:00,ETH/USDT,3223.36000000,3272.00000000,3126.42000000,3238.00000000,406479.07654000,1304347038.57135730,803263
1629504000000,2021-08-21 00:00:00,ETH/USDT,3284.81000000,3309.16000000,3207.00000000,3223.43000000,421156.09084000,1375973641.16316310,777622
1629417600000,2021-08-20 00:00:00,ETH/USDT,3184.11000000,3300.00000000,3177.16000000,3284.82000000,558127.45540000,1809283029.21790640,1137843
1629331200000,2021-08-19 00:00:00,ETH/USDT,3014.18000000,3188.00000000,2958.33000000,3184.12000000,634769.92174000,1931520693.61039600,1297759
1629244800000,2021-08-18 00:00:00,ETH/USDT,3011.73000000,3125.81000000,2950.00000000,3014.55000000,625103.25568000,1902429362.96362430,1093813
1629158400000,2021-08-17 00:00:00,ETH/USDT,3147.18000000,3290.00000000,2991.89000000,3011.72000000,804996.06971000,2535149204.53759840,1644472
1629072000000,2021-08-16 00:00:00,ETH/USDT,3307.35000000,3335.00000000,3135.22000000,3146.53000000,635667.05422000,2062860388.39544930,1940766
1628985600000,2021-08-15 00:00:00,ETH/USDT,3263.16000000,3320.00000000,3111.13000000,3307.09000000,565579.67765000,1813755247.62538600,1224556
1628899200000,2021-08-14 00:00:00,ETH/USDT,3322.33000000,3330.98000000,3200.00000000,3263.16000000,486102.53787000,1587713825.68617880,1014420
1628812800000,2021-08-13 00:00:00,ETH/USDT,3046.11000000,3327.83000000,3033.80000000,3322.32000000,579333.40323000,1867199038.70777630,1311322
